id,da0e,price,bedrooms,ba0hrooms,sqf0_living,sqf0_lo0,floors,wa0erfron0,view,condi0ion,grade,sqf0_above,sqf0_basemen0,yr_buil0,yr_renova0ed,zipcode,sqf0_living15,sqf0_lo015
116,2.01E+14,518500,3,4,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,1620,3166
117,2.01E+14,205425,2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,1190,6780
118,2.02E+14,171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,1880,9000
119,2.02E+14,535000,4,1,1610,2982,2,0,0,4,7,1610,0,1925,0,98144,1610,4040
120,2.02E+14,660000,3,3,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,2340,10856
121,2.01E+14,391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,1580,9104
122,2.02E+14,395000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,1710,6000
123,2.01E+14,445000,4,2,2100,4400,2,0,0,5,7,1720,380,1924,0,98118,1850,4400
124,2.01E+14,770000,3,2,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,2700,13992
125,2.02E+14,1.45E+06,4,3,2750,17789,2,0,0,3,8,1980,770,1914,1992,98004,3060,11275
126,2.01E+14,445000,3,2,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,2660,8712
127,2.01E+14,260000,4,2,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,2090,8400
128,2.01E+14,822500,5,4,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,1700,4960
129,2.02E+14,430000,4,3,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,1970,3748
130,2.02E+14,212000,3,2,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,1420,7680
131,2.02E+14,660500,4,2,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,2060,9793
132,2.01E+14,784000,3,4,3950,111078,2,0,0,3,9,2460,1490,1989,0,98052,2480,88500
133,2.01E+14,453246,3,3,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,1690,1662
134,2.02E+14,675000,4,4,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,1540,2285
135,2.01E+14,199000,3,2,1320,17390,1,0,0,4,7,1320,0,1956,0,98003,1550,19265
136,2.01E+14,220000,4,2,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,1750,8140
137,2.01E+14,452000,4,2,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,1550,10436
138,2.01E+14,382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,1060,5715
139,2.01E+14,519950,3,2,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,1350,1310
140,2.01E+14,665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,1170,3600
141,2.01E+14,527700,5,3,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,2820,9375
142,2.02E+14,205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,1610,8579
143,2.02E+14,420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,1560,7940
144,2.02E+14,500000,4,2,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,2230,8824
145,2.01E+14,921500,4,3,3670,315374,2,0,0,4,9,3670,0,1994,0,98077,2840,87991
146,2.01E+14,890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,2200,4000
147,2.01E+14,430000,2,3,2420,60984,2,0,0,3,7,2420,0,2007,0,98027,1940,193842
148,2.01E+14,258000,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,98032,1360,18000
149,2.01E+14,511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,1450,4599
150,2.01E+14,532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,1500,3090
151,2.02E+14,560000,3,1,1110,5000,2,0,0,3,7,1110,0,1947,0,98107,1420,5000
152,2.02E+14,282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,1680,8633
153,2.02E+14,2.25E+06,4,3,5180,19850,2,0,3,3,12,3540,1640,2006,0,98006,3160,9750
154,2.01E+14,350000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,1010,5100
155,2.01E+14,215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,1190,7669
156,2.01E+14,650000,5,4,3960,25245,2,0,0,3,9,2500,1460,1996,0,98056,2640,13675
157,2.01E+14,320000,4,3,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,1980,7875
158,2.01E+14,247000,3,2,1270,7198,2,0,0,3,7,1270,0,1916,2013,98022,1160,7198
159,2.01E+14,320000,4,2,1760,11180,1,0,0,4,8,1760,0,1968,0,98059,1730,11180
160,2.01E+14,255000,5,2,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,1010,11680
161,2.02E+14,438000,3,2,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,1200,9660
162,2.02E+14,900000,3,3,3400,16603,2,0,0,3,10,3400,0,2000,0,98075,3400,12601
163,2.01E+14,441000,3,3,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,1710,8152
164,2.01E+14,420000,3,2,2020,38332,1,0,0,4,7,1010,1010,1975,0,98027,2110,36590
165,2.01E+14,370000,3,2,1580,7000,1,0,0,3,7,1180,400,1976,0,98034,1640,7500
166,2.02E+14,269950,2,2,1340,7250,1,0,0,5,5,700,640,1949,0,98198,1830,9750
167,2.02E+14,807100,4,3,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,2920,4500
168,2.01E+14,653000,3,3,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,2480,8750
169,2.01E+14,371500,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,98133,1770,7288
170,2.02E+14,284000,3,2,1560,21000,1,0,0,3,7,1560,0,1954,0,98166,1070,7920
171,2.02E+14,272000,3,2,2160,7140,1,0,0,4,7,1670,490,1978,0,98023,1930,7350
172,2.01E+14,313000,3,2,1340,7912,2,0,0,3,7,1340,0,1955,0,98133,1480,7940
173,2.02E+14,917500,4,3,3880,35003,2,0,0,3,10,2570,1310,1984,0,98033,3740,35230
174,2.01E+14,673000,4,2,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,2260,8335
175,2.02E+14,425000,3,3,1120,1100,2,0,0,3,8,820,300,2008,0,98122,1590,1795
176,2.01E+14,399950,5,3,1970,5400,1,0,0,3,7,1320,650,1986,0,98144,1280,2150
177,2.01E+14,385000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,0,98122,1200,4800
178,2.01E+14,269950,3,2,1950,7560,1,0,2,4,7,1320,630,1975,0,98022,1950,8941
179,2.02E+14,330000,2,1,1350,8220,1,0,0,3,7,1060,290,1949,0,98177,1540,8280
180,2.01E+14,260000,3,3,1670,5797,2,0,0,3,7,1670,0,1988,0,98030,1670,6183
181,2.02E+14,470000,4,3,2380,5125,2,0,0,4,7,1680,700,1925,0,98126,1410,5375
182,2.01E+14,589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,98034,2290,9600
183,2.01E+14,163500,2,2,1050,3419,2,0,0,3,7,1050,0,1996,0,98038,1050,3417
184,2.01E+14,835000,4,3,3130,13412,2,0,0,3,9,2140,990,1993,0,98052,2260,9984
185,2.01E+14,1.10E+06,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,98033,2540,10270
186,2.02E+14,269000,4,2,1490,10000,1,0,0,4,8,1100,390,1969,0,98023,2190,8910
187,2.01E+14,560000,3,3,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,2030,8744
188,2.02E+14,615000,4,1,1330,2400,2,0,0,4,6,1330,0,1901,0,98103,1330,4400
189,2.01E+14,585188,3,2,2230,10026,1,0,0,3,8,1430,800,1975,0,98052,2230,9340
190,2.01E+14,305000,3,2,1650,9480,1,0,0,3,7,1220,430,1977,0,98034,1540,8400
191,2.01E+14,166950,3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,98058,1230,7980
192,2.01E+14,799000,3,3,2140,9897,1,0,0,4,8,2140,0,1959,0,98040,2680,10083
193,2.01E+14,400000,3,3,2180,7508,1,0,0,4,7,1420,760,1962,0,98133,1900,7818
194,2.01E+14,230000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,0,98155,1570,10228
195,2.01E+14,256883,3,3,1690,5025,2,0,0,3,8,1690,0,2003,0,98023,2550,5001
196,2.01E+14,423000,4,2,1970,6480,2,0,0,5,7,1130,840,1920,0,98108,1500,6480
197,2.01E+14,465000,3,3,2150,4084,2,0,0,3,8,2150,0,2007,0,98126,1750,2385
198,2.02E+14,440000,3,3,1910,66211,2,0,0,3,7,1910,0,1997,0,98024,2330,67268
199,2.01E+14,385000,3,2,1350,155073,1,0,0,4,7,1350,0,1969,0,98038,1560,50965
200,2.02E+14,210000,3,1,860,11725,1,0,0,4,6,860,0,1943,0,98056,1300,9514
201,2.01E+14,297000,3,3,1940,14952,2,0,0,3,8,1940,0,1994,0,98042,2030,10450
202,2.01E+14,470000,3,1,1010,5000,1,0,0,3,7,1010,0,1952,0,98107,1680,5000
203,2.01E+14,226500,3,2,1300,7370,1,0,0,4,7,900,400,1976,0,98023,1430,7500
204,2.02E+14,274250,3,1,910,8450,1,0,0,4,6,910,0,1962,0,98059,1400,8040
205,2.01E+14,840000,4,2,2480,11010,1,0,0,4,9,1630,850,1966,0,98040,2770,10744
206,2.01E+14,677900,3,3,2440,4587,2,0,0,3,8,2440,0,2010,0,98052,2750,4587
207,2.02E+14,425000,3,1,1010,5864,1,0,0,3,7,1010,0,1915,0,98116,1290,5000
208,2.01E+14,180250,2,1,900,9600,1,0,0,3,6,900,0,1941,0,98166,1250,14280
209,2.01E+14,464000,6,3,2300,3404,2,0,0,3,7,1600,700,1920,1994,98133,1560,1312
210,2.02E+14,320000,4,2,1550,7579,2,0,0,3,8,1550,0,1993,0,98038,1630,6397
211,2.01E+14,625504,3,2,1270,1566,2,0,0,3,8,1060,210,2014,0,98105,1160,1327
212,2.01E+14,592500,4,3,2240,12032,1,0,0,3,9,2240,0,1983,0,98074,2520,12368
213,2.02E+14,465000,3,3,2714,17936,2,0,0,3,9,2714,0,2005,0,98001,2590,18386
214,2.01E+14,477000,4,3,1720,6270,2,0,0,3,8,1720,0,1978,0,98118,2130,8700
215,2.02E+14,280000,2,1,850,16400,1,0,0,3,6,850,0,1923,0,98168,1100,14459
216,2.02E+14,1.51E+06,5,3,3300,33474,1,0,3,3,9,1870,1430,1957,1991,98040,3836,20953
217,2.01E+14,445838,3,3,2250,5692,2,0,0,3,8,2250,0,2000,0,98146,1320,5390
218,2.01E+14,1.07E+06,2,2,3900,14864,1,0,3,3,8,1950,1950,1947,0,98144,2580,5184
219,2.01E+14,467000,2,2,1320,10800,1,0,0,4,8,1320,0,1947,0,98177,2120,12040
220,2.01E+14,686000,4,3,2760,6440,2,0,0,3,10,2760,0,1999,0,98075,3070,8127
221,2.01E+14,279950,3,2,1750,9750,1,0,0,3,7,1350,400,1961,0,98198,1900,10125
222,2.01E+14,527000,4,2,2330,19436,2,0,0,3,8,2330,0,1987,0,98011,1910,10055
223,2.01E+14,325000,3,2,2220,16020,1,0,0,4,8,1780,440,1966,0,98030,2080,9583
224,2.01E+14,328000,3,2,2020,8379,2,0,0,3,7,2020,0,1994,0,98038,2020,8031
225,2.01E+14,390000,3,2,1250,7500,1,0,0,5,7,1250,0,1942,0,98146,1280,7392
226,2.02E+14,479950,2,2,1510,6516,1,0,0,3,8,1510,0,2005,0,98053,1640,6009
227,2.01E+14,264950,4,2,1720,9753,1,0,0,4,7,1120,600,1978,0,98023,1510,9753
228,2.02E+14,235000,3,1,1430,15246,1,0,0,4,7,980,450,1961,0,98031,1960,13068
229,2.02E+14,516500,3,3,1480,4729,2,0,0,3,7,1480,0,2004,0,98053,2250,4729
230,2.02E+14,655000,2,2,1450,15798,2,1,4,3,7,1230,220,1915,1978,98166,2030,13193
231,2.01E+14,500000,4,3,2280,15347,1,0,0,5,7,2280,0,1960,0,98059,2280,15347
232,2.01E+14,315000,6,3,2940,7350,1,0,0,3,8,1780,1160,1978,0,98023,2120,8236
233,2.01E+14,213000,2,1,1000,10200,1,0,0,3,6,1000,0,1961,0,98024,1150,13702
234,2.01E+14,475000,3,2,2480,5280,2,0,0,5,7,1620,860,1947,0,98108,2090,4800
235,2.01E+14,1.03E+06,5,4,3760,28040,2,0,0,3,10,3760,0,1983,0,98033,3430,35096
236,2.02E+14,416000,3,2,2220,94300,1,0,0,5,7,1640,580,1976,0,98010,2070,80100
237,2.02E+14,410000,4,1,1970,4740,2,0,0,3,7,1670,300,1904,2005,98122,1510,4740
238,2.01E+14,800000,3,4,3830,221284,2,0,0,3,10,3530,300,1993,0,98077,2920,148539
239,2.01E+14,472000,6,3,4410,14034,1,0,2,4,9,2350,2060,1965,0,98003,2600,13988
240,2.01E+14,225000,3,2,1430,8505,1,0,0,4,7,1430,0,1968,0,98003,1190,8640
241,2.01E+14,210000,2,1,830,6000,1,0,0,3,6,830,0,1940,0,98126,830,4960
242,2.02E+14,455000,2,1,1430,5000,2,0,0,2,7,1430,0,1925,0,98115,1450,3750
243,2.02E+14,225000,3,1,1300,8316,1,0,0,4,6,1300,0,1954,0,98002,1260,8316
244,2.01E+14,480000,2,1,1030,3060,1,0,2,4,7,790,240,1918,0,98103,1390,3060
245,2.02E+14,363000,3,3,2740,11872,2,0,0,3,9,2740,0,1990,0,98023,2570,10377
246,2.01E+14,2.40E+06,4,3,3650,8354,1,1,4,3,9,1830,1820,2000,0,98074,3120,18841
247,2.02E+14,181000,2,2,720,5120,1,0,0,3,6,720,0,1954,0,98106,1150,2566
248,2.02E+14,250000,4,2,2010,7312,1,0,0,4,7,2010,0,1976,0,98002,2010,7650
249,2.02E+14,481000,3,2,1560,3000,1,0,0,4,6,770,790,1918,0,98103,1390,3000
250,2.01E+14,260000,3,2,1810,7209,1,0,0,4,7,1240,570,1978,0,98032,1750,7209
251,2.01E+14,455000,4,3,3360,7685,2,0,0,3,9,3360,0,2001,0,98058,3060,6567
252,2.02E+14,415000,3,2,1510,36224,2,0,0,3,8,1510,0,1991,0,98045,1730,36224
253,2.02E+14,349500,3,1,1400,3538,1,0,0,3,7,800,600,1953,0,98118,1620,6331
254,2.01E+14,245000,3,3,1730,7442,2,0,0,3,7,1730,0,1987,0,98030,1630,6458
255,2.01E+14,592500,2,2,1420,9191,2,0,2,5,7,1420,0,1928,0,98115,1420,6816
256,2.01E+14,385000,4,2,2360,7620,1,0,0,4,7,1180,1180,1955,0,98106,1910,7620
257,2.02E+14,315000,3,2,1580,11455,1,0,0,4,7,1200,380,1974,0,98059,1550,10650
258,2.01E+14,255000,3,1,1230,10170,1,0,0,3,7,1230,0,1979,0,98045,1380,10098
259,2.01E+14,693000,4,3,2460,4425,2,0,0,3,8,2460,0,2006,0,98052,2990,5659
260,2.01E+14,780000,3,1,1660,4400,2,0,0,3,8,1460,200,1911,0,98112,1660,4400
261,2.01E+14,237000,3,2,1270,8470,1,0,0,4,7,1270,0,1960,0,98198,1600,8470
262,2.01E+14,525000,3,2,2100,40510,2,0,0,3,10,1320,780,1979,0,98074,2380,33450
263,2.02E+14,425000,2,1,770,5040,1,0,0,3,5,770,0,1930,0,98144,1330,2580
264,2.01E+14,369900,1,1,760,10079,1,1,4,5,5,760,0,1936,0,98070,1230,14267
265,2.01E+14,290000,4,3,1700,7280,2,0,0,4,7,1700,0,1988,0,98031,1950,7475
266,2.01E+14,285000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,0,98106,1130,6350
267,2.01E+14,415000,2,1,1070,4500,1,0,0,3,7,1070,0,1937,0,98115,1320,4465
268,2.02E+14,272500,3,3,2070,9900,1,0,0,3,8,1420,650,1979,0,98023,2070,8250
269,2.02E+14,2.90E+06,4,3,5050,20100,2,0,2,3,11,4750,300,1982,2008,98004,3890,20060
